# u, v, x, y, z
1.910000000000000000e+02,5.770000000000000000e+02,9.900000000000000000e+01,4.350000000000000000e+01,-4.275000000000000000e+01
6.800000000000000000e+01,5.740000000000000000e+02,1.110000000000000000e+02,4.350000000000000000e+01,-4.275000000000000000e+01
2.170000000000000000e+02,5.310000000000000000e+02,1.230000000000000000e+02,4.350000000000000000e+01,-4.275000000000000000e+01
1.070000000000000000e+02,5.290000000000000000e+02,1.350000000000000000e+02,4.350000000000000000e+01,-4.275000000000000000e+01
1.380000000000000000e+02,4.920000000000000000e+02,1.470000000000000000e+02,4.350000000000000000e+01,-4.275000000000000000e+01
1.640000000000000000e+02,4.600000000000000000e+02,1.590000000000000000e+02,4.350000000000000000e+01,-4.275000000000000000e+01
1.870000000000000000e+02,4.340000000000000000e+02,1.710000000000000000e+02,4.350000000000000000e+01,-4.275000000000000000e+01
2.090000000000000000e+02,4.110000000000000000e+02,1.830000000000000000e+02,4.350000000000000000e+01,-4.275000000000000000e+01
2.380000000000000000e+02,4.940000000000000000e+02,9.900000000000000000e+01,3.150000000000000000e+01,-4.275000000000000000e+01
2.590000000000000000e+02,4.620000000000000000e+02,1.110000000000000000e+02,3.150000000000000000e+01,-4.275000000000000000e+01
2.750000000000000000e+02,4.350000000000000000e+02,1.230000000000000000e+02,3.150000000000000000e+01,-4.275000000000000000e+01
2.900000000000000000e+02,4.120000000000000000e+02,1.350000000000000000e+02,3.150000000000000000e+01,-4.275000000000000000e+01
3.020000000000000000e+02,3.920000000000000000e+02,1.470000000000000000e+02,3.150000000000000000e+01,-4.275000000000000000e+01
2.260000000000000000e+02,3.900000000000000000e+02,1.590000000000000000e+02,3.150000000000000000e+01,-4.275000000000000000e+01
3.120000000000000000e+02,3.730000000000000000e+02,1.710000000000000000e+02,3.150000000000000000e+01,-4.275000000000000000e+01
2.390000000000000000e+02,3.730000000000000000e+02,1.830000000000000000e+02,3.150000000000000000e+01,-4.275000000000000000e+01
3.170000000000000000e+02,5.790000000000000000e+02,9.900000000000000000e+01,1.950000000000000000e+01,-4.275000000000000000e+01
3.320000000000000000e+02,5.330000000000000000e+02,1.110000000000000000e+02,1.950000000000000000e+01,-4.275000000000000000e+01
3.440000000000000000e+02,4.950000000000000000e+02,1.230000000000000000e+02,1.950000000000000000e+01,-4.275000000000000000e+01
3.550000000000000000e+02,4.630000000000000000e+02,1.350000000000000000e+02,1.950000000000000000e+01,-4.275000000000000000e+01
3.640000000000000000e+02,4.360000000000000000e+02,1.470000000000000000e+02,1.950000000000000000e+01,-4.275000000000000000e+01
3.710000000000000000e+02,4.120000000000000000e+02,1.590000000000000000e+02,1.950000000000000000e+01,-4.275000000000000000e+01
3.800000000000000000e+02,3.920000000000000000e+02,1.710000000000000000e+02,1.950000000000000000e+01,-4.275000000000000000e+01
3.850000000000000000e+02,3.740000000000000000e+02,1.830000000000000000e+02,1.950000000000000000e+01,-4.275000000000000000e+01
4.450000000000000000e+02,5.800000000000000000e+02,9.900000000000000000e+01,7.500000000000000000e+00,-4.275000000000000000e+01
4.470000000000000000e+02,5.330000000000000000e+02,1.110000000000000000e+02,7.500000000000000000e+00,-4.275000000000000000e+01
4.490000000000000000e+02,4.960000000000000000e+02,1.230000000000000000e+02,7.500000000000000000e+00,-4.275000000000000000e+01
4.520000000000000000e+02,4.640000000000000000e+02,1.350000000000000000e+02,7.500000000000000000e+00,-4.275000000000000000e+01
4.540000000000000000e+02,4.360000000000000000e+02,1.470000000000000000e+02,7.500000000000000000e+00,-4.275000000000000000e+01
4.550000000000000000e+02,4.120000000000000000e+02,1.590000000000000000e+02,7.500000000000000000e+00,-4.275000000000000000e+01
4.560000000000000000e+02,3.920000000000000000e+02,1.710000000000000000e+02,7.500000000000000000e+00,-4.275000000000000000e+01
4.590000000000000000e+02,3.740000000000000000e+02,1.830000000000000000e+02,7.500000000000000000e+00,-4.275000000000000000e+01
5.740000000000000000e+02,5.800000000000000000e+02,9.900000000000000000e+01,-4.500000000000000000e+00,-4.275000000000000000e+01
5.660000000000000000e+02,5.340000000000000000e+02,1.110000000000000000e+02,-4.500000000000000000e+00,-4.275000000000000000e+01
5.560000000000000000e+02,4.950000000000000000e+02,1.230000000000000000e+02,-4.500000000000000000e+00,-4.275000000000000000e+01
5.510000000000000000e+02,4.640000000000000000e+02,1.350000000000000000e+02,-4.500000000000000000e+00,-4.275000000000000000e+01
5.450000000000000000e+02,4.350000000000000000e+02,1.470000000000000000e+02,-4.500000000000000000e+00,-4.275000000000000000e+01
5.400000000000000000e+02,4.120000000000000000e+02,1.590000000000000000e+02,-4.500000000000000000e+00,-4.275000000000000000e+01
5.350000000000000000e+02,3.920000000000000000e+02,1.710000000000000000e+02,-4.500000000000000000e+00,-4.275000000000000000e+01
5.310000000000000000e+02,3.740000000000000000e+02,1.830000000000000000e+02,-4.500000000000000000e+00,-4.275000000000000000e+01
6.810000000000000000e+02,5.330000000000000000e+02,9.900000000000000000e+01,-1.650000000000000000e+01,-4.275000000000000000e+01
6.630000000000000000e+02,4.950000000000000000e+02,1.110000000000000000e+02,-1.650000000000000000e+01,-4.275000000000000000e+01
