# u, v, x, y, z 
#  units in pixels and meters
9.650000000000000000e+02,7.080000000000000000e+02,4.114599207558670813e+00,1.308036167835009422e+00,0.000000000000000000e+00
3.130000000000000000e+02,7.400000000000000000e+02,3.962206644315757309e+00,-5.206745910799552846e-01,0.000000000000000000e+00
5.380000000000000000e+02,6.910000000000000000e+02,4.266991770801584316e+00,8.889566189169963162e-02,0.000000000000000000e+00
6.300000000000000000e+01,7.050000000000000000e+02,4.114599207558670813e+00,-1.282637407294524134e+00,0.000000000000000000e+00
8.210000000000000000e+02,6.410000000000000000e+02,4.571776897287412211e+00,1.003251041349181971e+00,0.000000000000000000e+00
1.900000000000000000e+02,6.610000000000000000e+02,4.419384334044498708e+00,-9.778522808086965723e-01,0.000000000000000000e+00
6.240000000000000000e+02,6.040000000000000000e+02,4.876562023773239218e+00,3.936807883775271244e-01,0.000000000000000000e+00
3.180000000000000000e+02,5.820000000000000000e+02,5.028954587016153610e+00,-6.730671543228690101e-01,0.000000000000000000e+00
1.270000000000000000e+02,5.620000000000000000e+02,5.181347150259067114e+00,-1.435029970537437860e+00,0.000000000000000000e+00
8.620000000000000000e+02,5.670000000000000000e+02,5.181347150259067114e+00,1.308036167835009422e+00,0.000000000000000000e+00
8.020000000000000000e+02,5.380000000000000000e+02,5.486132276744895009e+00,1.155643604592095919e+00,0.000000000000000000e+00
1.005000000000000000e+03,5.210000000000000000e+02,5.638524839987808512e+00,2.069998984049578272e+00,0.000000000000000000e+00
6.780000000000000000e+02,5.140000000000000000e+02,5.790917403230722016e+00,6.984659148633546311e-01,0.000000000000000000e+00
8.360000000000000000e+02,4.880000000000000000e+02,6.095702529716549911e+00,1.460428731077923148e+00,0.000000000000000000e+00
9.020000000000000000e+02,4.570000000000000000e+02,6.552880219445290422e+00,1.917606420806664325e+00,0.000000000000000000e+00
9.640000000000000000e+02,4.400000000000000000e+02,6.857665345931118317e+00,2.374784110535405723e+00,0.000000000000000000e+00
6.830000000000000000e+02,4.500000000000000000e+02,6.705272782688204813e+00,8.508584781062683566e-01,0.000000000000000000e+00
